"","Adela cuprella","Adscita statices","Alliopsis billbergi","Amauronematus sp1 M_PL_048","Anarta cordigera","Anarta myrtilli","Anaspis frontalis","Andrena clarkella","Andrena fucata","Andrena fulva","Andrena fuscipes","Andrena haemorrhoa","Andrena lapponica","Andrena praecox","Andrena sp1 M_PL_048","Andrena tarsata","Anoplius sp1 M_PL_048","Antherophagus nigrocornis","Aphanthopus hyperanthus","Apis mellifera","Aplotarsus incanus","Athous subfuscus","Autographa bractea","Barycnemis sp1 M_PL_048","Bellardia vulgaris","Bibio lanigerus","Bibio sp1 M_PL_048","Bombus bohemicus","Bombus hortorum","Bombus hypnorum","Bombus jonellus","Bombus lapidarius","Bombus lucorum","Bombus pascuorum","Bombus pratorum","Bombus sylvestris","Bombus terrestris","Botanophila fugax","Bruchidius villosus","Calameuta pallipes","Callophrys rubi","Cantharis figurata","Cantharis nigricans","Cerceris arenaria","Cheilosia albipila","Cheilosia bergenstammi","Cheilosia longula","Cheilosia pagana","Cheilosia psilophthalma","Chrysomela collaris","Chrysomela populi","Chrysotoxum bicinctum","Clossiana selene","Coenonympha pamphilus","Coenosia femoralis","Coenosia means","Coenosia tigrina","Colletes cunicularius","Colletes succinctus","Conops flavipes","Crambus lathoniellus","Cylindromyia brassicaria","Cynomya mortuorum","Dalopius marginatus","Dasytes plumbeus ","Delia diluta","Delia florilega","Dilophus febrilis","Dolichovespula saxonica","Dolichovespula sp1 M_PL_048","Dolichovespula sylvestris","Ectobius silvestris","Empis aestiva","Empis caudatula","Empis chioptera","Empis nuntia","Empis sp1 M_PL_048","Empis tessellata","Epirrhoetristata sp1 M_PL_048","Episyrphus balteatus","Eriothrix rufomaculatus","Eristalinus sepulchralis","Eristalis abusiva","Eristalis intricaria","Eristalis lineata","Eristalis pertinax","Eristalis sp1 M_PL_048","Eristalis tenax","Ernestia rudis","Eumenes pedunculatus","Eupeodes corollae ","Formica exsecta","Formica fusca","Formica rufa","Formica sanguinea","Formica transkaucasica","Gonia picea","Gymnosoma nudifrons","Halictus rubicundus","Helina reversio","Helophilus pendulus","Hercostomus sp1 M_PL_048","Heterostylodes nominabilis ","Heterostylodes pratensis","Huebneria affinis","Hylaeus brevicornis","Hylaeus confusus","Hylaeus sp1 M_PL_048","Hypera meles","Inachis io","Lasioglossum albipes","Lasioglossum calceatum","Lasioglossum fratellum","Lasioglossum leucopus","Lasioglossum leucozonium","Lasioglossum punctatissimum","Lasioglossum quadrinotatum","Lasioglossum rufitarse","Lasioglossum sp1 M_PL_048","Lasioglossum villosulum","Lasius niger","Leptura melanura","Leucozona lucorum","Lucilia bufonivora","Lycaena virgaureae","Lypha dubia","Macropis europaea","Maniola jurtina","Megachile willughbiella","Melanotoma mellinum","Meligethes aeneus","Meliscaeva cinctella","Melitta haemorrhoidalis","Mellinus arvensis","Mesapamea didyma","Miarus campanulae ","Microgaster sp1 M_PL_048","Micropterix aruncella","Mimesa equestris","Morellia aenescens","Myrmica ruginodis","Nemophora metallica","Nomada leucopthalma","Nomada rufipes","Oedemera lurida","Oscinella vastator","Panurgus banksianus","Paragus haemorrhous","Parasyrphus lineola","Paregle audacula","Phaonia angelicae","Phaonia incana","Phasia pusilla","Phyllopertha horticola","Pieris napi","Pieris rapae ","Pipiza lugubris","Pipizella viduata","Platycheirus cyaneus","Platycheirus occultus","Platycheirus peltatus","Platycheirus sp1 M_PL_048","Pollenia angustigena","Pollenia rudis","Polyommatus icarus ","Prosena siberita","Prosternon tessellatum","Pyrgus malvae","Rhagonycha fulva","Rhagonycha limbata","Rhamphomyia nigripennis","Rhamphomyia sp1 M_PL_048","Rhingia campestris","Rhinophora lepida","Sarcophaga carnaria","Sarcophaga lasiostyla","Sarcophaga sp1 M_PL_048","Sarcophaga subvicina","Scaeva selenitica","Scatophaga inquinata","Scatophaga stercoraria","Sciara hemerobioides","Sciara sp1 M_PL_048","Sepsis cynipsea","Sericomyia lappona","Sericomyia silentis","Sicus ferrugineus","Siphona genuculata","Siphona pauciseta","Siphonella oscinina","Sphaerophoria batava","Sphaerophoria scripta","Sphaerophoria sp1 M_PL_048","Sphaerophoria sp2 M_PL_048","Sphaerophoria virgata","Sphecodes sp1 M_PL_048","Syritta pipiens","Syrphus torvus","Tachina grossa","Thymelicus lineola","Tricholinum sp1 M_PL_048","Unidentified sp1 M_PL_048","Unidentified sp10 M_PL_048","Unidentified sp11 M_PL_048","Unidentified sp12 M_PL_048","Unidentified sp13 M_PL_048","Unidentified sp14 M_PL_048","Unidentified sp15 M_PL_048","Unidentified sp16 M_PL_048","Unidentified sp17 M_PL_048","Unidentified sp18 M_PL_048","Unidentified sp19 M_PL_048","Unidentified sp2 M_PL_048","Unidentified sp20 M_PL_048","Unidentified sp21 M_PL_048","Unidentified sp22 M_PL_048","Unidentified sp23 M_PL_048","Unidentified sp24 M_PL_048","Unidentified sp25 M_PL_048","Unidentified sp26 M_PL_048","Unidentified sp27 M_PL_048","Unidentified sp28 M_PL_048","Unidentified sp29 M_PL_048","Unidentified sp3 M_PL_048","Unidentified sp30 M_PL_048","Unidentified sp4 M_PL_048","Unidentified sp5 M_PL_048","Unidentified sp6 M_PL_048","Unidentified sp7 M_PL_048","Unidentified sp8 M_PL_048","Unidentified sp9 M_PL_048","Vespula rufa","Vespula vulgaris ","Volucella bombylans","Volucella pellucens","Zygaena trifolii"
"Arnica montana",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Calluna vulgaris",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0
"Campanula rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cytisus scoparius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empetrum nigrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"Erica tetralix",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Galeopsis sp1 M_PL_048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium saxatile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Genista anglica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
