"X","Megabothris.walkeri","Ctenophthalmus.breviatus","Citellophilus.tesquorum","Ctenophthalmus.assimilis","Neopsylla.pleskei","Amalaraeus.penicilliger","Neopsylla.setosa","Oropsylla.silantiewi","Frontopsylla.elata","Stenoponia.ivanovi","Amphipsylla.sibirica","Amphipsylla.rossica","Mesopsylla.hebes","Palaeopsylla.soricis","Hystrichopsylla.talpae","Peromyscopsylla.bidentata","Amphipsylla.kuznetzovi","Amphipsylla.prima","Pectinoctenus.pavlovskii","Oropsylla.ilovaiskii","Corrodopsylla.birulai","Amphipsylla.dumalis","Frontopsylla.elatoides","Leptopsylla.segnis"
"Arvicola terrestris",449,107,26,82,40,2,0,0,6,0,0,6,0,0,5,0,0,0,6,0,0,0,0,0
"Lagurus lagurus",0,159,106,4,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Clethrionomys glareolus",4,0,0,46,3,132,9,0,8,0,20,0,0,0,10,11,0,0,0,0,0,0,0,0
"Cricetus cricetus",18,94,19,7,38,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Microtus oeconomus",31,18,0,12,6,0,0,0,2,25,2,8,0,0,0,2,4,0,0,0,0,0,0,0
"Microtus gregalis",7,30,16,27,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus pygmaeus",0,41,16,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,2,0
"Marmota bobak",0,0,2,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",0,22,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys fodiens",11,2,0,15,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Sorex araneus",2,3,0,6,2,2,0,0,2,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0
"Cricetulus migratorius",2,7,3,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus arvalis",4,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga major",0,2,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",0,6,2,3,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus major",2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista subtilis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Ellobius talpinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
